共同,gòng tóng,"common; joint; jointly; together; collaborative",共同,gung6 tung4,gung6 tung4,guhng tùhng,4
够,gòu,"to reach; to be enough",夠,gau3,gau3,gau,4
购物,gòu wù,"shopping",購物,kau3 mat6,kau3 mat6,kau maht,4
估计,gū jì,"to estimate; to reckon; CL:个",估計,gu2 gai3,gu2 gai3,gú gai,4
鼓励,gǔ lì,"to encourage",鼓勵,gu2 lai6,gu2 lai6,gú laih,4
故意,gù yì,"deliberately; on purpose",故意,gu3 yi3,gu3 ji3,gu yi,4
顾客,gù kè,"client; customer; CL:位[wei4]",顧客,gu3 haak3,gu3 haak3,gu haak,4
挂,guà,"to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects",挂,gwa3,gwaa3,gwa,4
关键,guān jiàn,"crucial point; crux; CL:个; key; crucial; pivotal",關鍵,gwaan1 gin6,gwaan1 gin6,gwāan gihn,4
观众,guān zhòng,"spectators; audience; visitors (to an exhibition etc)",觀衆,gun1 jung3,gun1 zung3,gūn jung,4
管理,guǎn lǐ,"to supervise; to manage; to administer; management; administration; CL:个",管理,gun2 lei5,gun2 lei5,gún léih,4
光,guāng,"light (ray); light; ray; CL:道[dao4]; bright; only; merely; to use up",光,gwong1,gwong1,gwōng,4
广播,guǎng bō,"broadcast; widely spread; CL:个",廣播,gwong2 bo3,gwong2 bo3,gwóng bo,4
广告,guǎng gào,"to advertise; a commercial; advertisement; CL:项[xiang4]",廣告,gwong2 gou3,gwong2 gou3,gwóng gou,4
逛,guàng,"to stroll; to visit",逛,kwaang3,kwaang3,kwaang,4
规定,guī dìng,"to stipulate; to fix; to set; to formulate; to provide; regulation; rule; CL:个",規定,kwai1 ding6,kwai1 ding6,kwāi dihng,4
国籍,guó jí,"nationality",國籍,gwok3 jik6,gwok3 zik6,gwok jihk,4
国际,guó jì,"international",國際,gwok3 jai3,gwok3 zai3,gwok jai,4
果汁,guǒ zhī,"fruit juice",果汁,gwo2 jap1,gwo2 zap1,gwó jāp,4
过程,guò chéng,"course of events; process; CL:个",過程,gwo3 ching4,gwo3 cing4,gwo chìhng,4
海洋,hǎi yáng,"ocean; CL:个",海洋,hoi2 yeung4,hoi2 joeng4,hói yèuhng,4
害羞,hài xiū,"blush; shy",害羞,hoi6 sau1,hoi6 sau1,hoih sāu,4
寒假,hán jià,"winter vacation",寒假,hon4 ga3,hon4 gaa3,hòhn ga,4
汗,hàn,"perspiration; sweat; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); CL:滴[di1] ,头[tou2] ,身[shen1]",汗,hon6,hon6,hohn,4
航班,háng bān,"scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship",航班,hong4 baan1,hong4 baan1,hòhng bāan,4
好处,hǎo chu,"benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:个",好處,hou2 chyu3,hou2 cyu3,hóu chyu,4
好像,hǎo xiàng,"as if; to seem like",好像,hou2 jeung6,hou2 zoeng6,hóu jeuhng,4
号码,hào mǎ,"number; CL:堆[dui1] ,个",號碼,hou6 ma5,hou6 maa5,houh máh,4
合格,hé gé,"qualified; meeting a standard; eligible (voter)",合格,hap6 gaak3,hap6 gaak3,hahp gaak,4
合适,hé shì,"suitable; fitting; decent; to fit",合適,hap6 sik1,hap6 sik1,hahp sīk,4
盒子,hé zi,"box",盒子,hap6 ji2,hap6 zi2,hahp jí,4
厚,hòu,"thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress",厚,hau5,hau5,háuh,4
后悔,hòu huǐ,"to regret; to repent",後悔,hau6 fui3,hau6 fui3,hauh fui,4
互联网,hù lián wǎng,"the Internet",互聯網,wu6 lyun4 mong5,wu6 lyun4 mong5,wuh lyùhn móhng,4
互相,hù xiāng,"each other; mutually; mutual",互相,wu6 seung1,wu6 soeng1,wuh sēung,4
护士,hù shi,"nurse; CL:个",護士,wu6 si6,wu6 si6,wuh sih,4
怀疑,huái yí,"to suspect; to doubt; doubt; suspicion; skeptical",懷疑,waai4 yi4,waai4 ji4,wàaih yìh,4
回忆,huí yì,"to recall; recollection; CL:个",回憶,wui4 yik1,wui4 jik1,wùih yīk,4
活动,huó dòng,"to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:项[xiang4] ,个",活動,wut6 dung6,wut6 dung6,wuht duhng,4
活泼,huó po,"lively; vivacious; brisk; active",活潑,wut6 put3,wut6 put3,wuht put,4
火,huǒ,"fire; CL:把[ba3]",火,fo2,fo2,fó,4
获得,huò dé,"to obtain; to receive; to get",獲得,wok6 dak1,wok6 dak1,wohk dāk,4
基础,jī chǔ,"base; foundation; basis; underlying; CL:个",基礎,gei1 cho2,gei1 co2,gēi chó,4
激动,jī dòng,"to excite; to agitate; exciting",激動,gik1 dung6,gik1 dung6,gīk duhng,4
积极,jī jí,"active; energetic; vigorous; positive (outlook); proactive",積極,jik1 gik6,zik1 gik6,jīk gihk,4
积累,jī lěi,"to accumulate; accumulation; cumulative; cumulatively",積累,jik1 leui6,zik1 leoi6,jīk leuih,4
即使,jí shǐ,"even if; even though; given that",即使,jik1 si2,zik1 si2,jīk sí,4
